"","Season","Name","Tm","Division","IP","TBF","ERA","H","2B","3B","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","playerId","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","WHIP","BABIP","LOB%","FIP","xFIP"
"38",2019,"Mike Morin","2 Tms","2 Tms",50.2,210,4.6184,46,10,0,29,26,6,10,0,4,26,0.238341968,0.288461538,0.383419689,0.286884706,13442,4.6184,1.7763,2.6,1.0658,0.1238,0.0476,0.0762,1.1053,0.2439,0.6008,4.55611385570801,5.41153879573768
"39",2019,"Chris Stratton","2 Tms","2 Tms",76,344,5.5658,93,21,2,50,47,13,33,1,0,69,0.3,0.366279069,0.506451612,0.365828746,13761,8.1711,3.9079,2.0909,1.5395,0.2006,0.0959,0.1047,1.6579,0.3493,0.705,4.92453579070801,4.82092627094764
"40",2019,"Kevin Gausman","2 Tms","2 Tms",102.1,451,5.7166,113,22,1,71,65,15,32,3,5,114,0.281795511,0.337837837,0.453865336,0.331574062,14107,10.0261,2.8143,3.5625,1.3192,0.2528,0.071,0.1818,1.4169,0.3439,0.6124,3.97622470670801,4.05341365752595
"41",2019,"Zack Godley","2 Tms","2 Tms",92,407,5.9674,96,20,4,62,61,14,42,2,5,70,0.27118644,0.354838709,0.468926553,0.347252497,14862,6.8478,4.1087,1.6667,1.3696,0.172,0.1032,0.0688,1.5,0.2971,0.6564,5.20313990970801,5.43030295352573
"42",2019,"Ryne Stanek","2 Tms","2 Tms",77,327,3.974,61,13,1,39,34,11,39,3,0,89,0.214035087,0.305810397,0.38245614,0.292707516,15947,10.4026,4.5584,2.2821,1.2857,0.2722,0.1193,0.1529,1.2987,0.266,0.721,4.27894453970801,4.72101367692669
"43",2019,"Nick Anderson","2 Tms","2 Tms",65,264,3.3231,52,11,2,24,24,8,18,4,2,110,0.213991769,0.272727272,0.374485596,0.269300562,18337,15.2308,2.4923,6.1111,1.1077,0.4167,0.0682,0.3485,1.0769,0.3492,0.7895,2.35247101470801,2.43564522197613
"44",2019,"Zac Gallen","2 Tms","2 Tms",80,334,2.8125,62,16,1,26,25,8,36,1,4,96,0.211604095,0.305389221,0.354948805,0.28746192,19291,10.8,4.05,2.6667,0.9,0.2874,0.1078,0.1796,1.225,0.2842,0.837,3.61400947570801,4.15402491651475
"45",2019,"Trevor Richards","2 Tms","2 Tms",135.1,580,4.0567,127,25,3,63,61,19,56,6,5,127,0.249019607,0.326956521,0.421568627,0.315526601,19309,8.4458,3.7241,2.2679,1.2635,0.219,0.0966,0.1224,1.3522,0.2895,0.7745,4.51450240670801,5.08524559245369
"46",2019,"Wilmer Font","3 Tms","3 Tms",84.1,356,4.4822,78,26,1,42,42,17,29,2,3,95,0.242236024,0.308988764,0.487577639,0.329087126,5257,10.1383,3.0949,3.2759,1.8142,0.2669,0.0815,0.1854,1.2688,0.2877,0.7889,4.71993892370801,4.52888990658387
"47",2019,"T.J. McFarland","ARI","NL West",56,250,4.8214,71,13,2,35,30,6,20,5,1,35,0.315555555,0.370967741,0.471111111,0.35006617,3237,5.625,3.2143,1.75,0.9643,0.14,0.08,0.06,1.625,0.3457,0.6818,4.48186661770801,4.33226315192878
"48",2019,"Merrill Kelly","ARI","NL West",183.1,777,4.4182,184,38,4,95,90,29,57,4,2,158,0.259520451,0.314359637,0.447108603,0.318447345,11156,7.7564,2.7982,2.7719,1.4236,0.2033,0.0734,0.13,1.3145,0.2919,0.7312,4.51219152970801,4.58246983104354
"49",2019,"Robbie Ray","ARI","NL West",174.1,747,4.3365,150,33,5,91,84,30,84,5,5,235,0.233644859,0.325170068,0.440809968,0.32249141,11486,12.1319,4.3365,2.7976,1.5488,0.3146,0.1124,0.2021,1.3423,0.3053,0.7513,4.28666742370801,3.76112745198096
"50",2019,"Matt Andriese","ARI","NL West",70.2,310,4.7123,72,17,2,37,37,8,27,4,3,79,0.261818181,0.331168831,0.425454545,0.317186127,12022,10.0613,3.4387,2.9259,1.0189,0.2548,0.0871,0.1677,1.4009,0.3316,0.7159,3.72344319670801,3.8843951192047
"51",2019,"Archie Bradley","ARI","NL West",71.2,317,3.5163,67,15,2,30,28,5,36,2,5,87,0.246323529,0.342857142,0.371323529,0.310557091,12918,10.9256,4.5209,2.4167,0.6279,0.2744,0.1136,0.1609,1.4372,0.337,0.7723,3.40935822170801,4.05673740080267
"52",2019,"Andrew Chafin","ARI","NL West",52.2,225,3.7595,52,4,0,23,22,6,18,0,2,68,0.257425742,0.324324324,0.366336633,0.301312135,12988,11.6202,3.0759,3.7778,1.0253,0.3022,0.08,0.2222,1.3291,0.3511,0.7704,3.25198413470801,3.24399102754582
"53",2019,"Luke Weaver","ARI","NL West",64.1,260,2.9378,55,16,0,22,21,6,14,1,3,69,0.227272727,0.276923076,0.367768595,0.27387072,16918,9.6529,1.9586,4.9286,0.8394,0.2654,0.0538,0.2115,1.0725,0.2917,0.7862,3.07411303070801,3.87149762456654
"54",2019,"Yoan Lopez","ARI","NL West",60.2,246,3.4121,52,11,2,27,23,11,17,2,0,42,0.232142857,0.281632653,0.446428571,0.298270686,17181,6.2308,2.522,2.4706,1.6319,0.1707,0.0691,0.1016,1.1374,0.233,0.7836,5.02719529170801,4.47345367668529
"55",2019,"Taylor Clarke","ARI","NL West",84.2,369,5.315,86,17,4,55,50,23,30,0,6,68,0.262996941,0.331521739,0.550458715,0.361294935,17611,7.2283,3.189,2.2667,2.4449,0.1843,0.0813,0.103,1.3701,0.2603,0.7461,6.41479561670801,5.56167946334978
"56",2019,"Alex Young","ARI","NL West",83.1,349,3.564,72,16,0,40,33,14,27,4,4,71,0.228571428,0.297687861,0.412698412,0.297945846,18333,7.668,2.916,2.6296,1.512,0.2034,0.0774,0.1261,1.188,0.2489,0.7554,4.81001011370801,4.65500005169654
"57",2019,"Yoshihisa Hirano","ARI","NL West",53,233,4.7547,51,9,0,31,28,7,22,2,3,61,0.248780487,0.327586206,0.395121951,0.308376957,19756,10.3585,3.7358,2.7727,1.1887,0.2618,0.0944,0.1674,1.3774,0.3143,0.6798,4.04419815470801,4.24135853192716
"58",2019,"Julio Teheran","ATL","NL East",174.2,754,3.813,148,33,2,81,74,22,83,3,14,162,0.229457364,0.32797858,0.389147286,0.309549969,6797,8.3473,4.2767,1.9518,1.1336,0.2149,0.1101,0.1048,1.3225,0.2664,0.7656,4.66248248170801,5.25724011361915
"59",2019,"Josh Tomlin","ATL","NL East",79.1,320,3.7437,82,10,4,35,33,14,7,0,0,51,0.267100977,0.281645569,0.462540716,0.307681074,9388,5.7857,0.7941,7.2857,1.5882,0.1594,0.0219,0.1375,1.1218,0.2742,0.7781,4.48711925370801,4.95114441166625
"60",2019,"Dallas Keuchel","ATL","NL East",112.2,487,3.7544,115,14,4,50,47,16,39,1,9,91,0.264976958,0.338174273,0.426267281,0.327078253,9434,7.2692,3.1154,2.3333,1.2781,0.1869,0.0801,0.1068,1.3669,0.2982,0.8037,4.72288476870801,4.05966124407317
"61",2019,"Mike Foltynewicz","ATL","NL East",117,491,4.5385,109,19,4,65,59,23,37,2,2,105,0.244394618,0.304526748,0.459641255,0.318649363,10811,8.0769,2.8462,2.8378,1.7692,0.2138,0.0754,0.1385,1.2479,0.2654,0.7168,4.97469323570801,4.73137699661092
"62",2019,"Luke Jackson","ATL","NL East",72.2,315,3.8394,76,9,0,34,31,10,26,4,2,106,0.265734265,0.331210191,0.402097902,0.311413226,11752,13.1284,3.2202,4.0769,1.2385,0.3365,0.0825,0.254,1.4037,0.386,0.7778,3.24153239870801,2.52014322605275
"63",2019,"Max Fried","ATL","NL East",165.2,702,4.0201,174,33,0,80,74,21,47,3,5,173,0.270186335,0.323782234,0.419254658,0.315399417,13743,9.3984,2.5533,3.6809,1.1408,0.2464,0.067,0.1795,1.334,0.3355,0.7426,3.71501541070801,3.31588517989682
"64",2019,"Sean Newcomb","ATL","NL East",68.1,293,3.161,61,10,1,28,24,8,29,1,3,65,0.235521235,0.317406143,0.374517374,0.298704009,16943,8.561,3.8195,2.2414,1.0537,0.2218,0.099,0.1229,1.3171,0.2819,0.7946,4.23840021870801,4.6086206290836
"65",2019,"Mike Soroka","ATL","NL East",174.2,701,2.6794,153,21,2,56,52,14,41,1,7,142,0.236476043,0.288378766,0.340030911,0.271957916,18383,7.3168,2.1126,3.4634,0.7214,0.2026,0.0585,0.1441,1.1107,0.2797,0.7993,3.45446744470801,3.84744413226308
"66",2019,"Richard Bleier","BAL","AL East",55.1,235,5.3675,65,19,1,34,33,6,8,2,4,30,0.295454545,0.329059829,0.472727272,0.332828967,7803,4.8795,1.3012,3.75,0.9759,0.1277,0.034,0.0936,1.3193,0.3155,0.6268,4.18991367770801,4.18230577099812
"67",2019,"Mychal Givens","BAL","AL East",63,260,4.5714,49,4,3,35,32,13,26,1,2,86,0.213043478,0.296153846,0.426086956,0.303406304,10430,12.2857,3.7143,3.3077,1.8571,0.3308,0.1,0.2308,1.1905,0.2707,0.7143,4.49972376070801,3.61694178160221
"68",2019,"Asher Wojciechowski","BAL","AL East",82.1,361,4.919,80,17,4,46,45,17,28,0,9,80,0.247678018,0.325,0.482972136,0.339156653,10836,8.7449,3.0607,2.8571,1.8583,0.2216,0.0776,0.144,1.3117,0.2775,0.7618,5.30307914670801,5.61475776785956
"69",2019,"Dylan Bundy","BAL","AL East",161.2,700,4.7876,161,40,1,95,86,29,58,0,6,162,0.256369426,0.321888412,0.461783439,0.328940258,12917,9.0186,3.2289,2.7931,1.6144,0.2314,0.0829,0.1486,1.3546,0.2966,0.705,4.72947308070801,4.57538718123254
"70",2019,"Gabriel Ynoa","BAL","AL East",110.2,480,5.6114,126,24,2,77,69,29,26,1,3,67,0.28,0.322916666,0.535555555,0.354200228,12938,5.4488,2.1145,2.5769,2.3584,0.1396,0.0542,0.0854,1.3735,0.2732,0.6818,6.19593628770801,5.39564905548422
"71",2019,"Miguel Castro","BAL","AL East",73.1,319,4.6636,63,12,0,42,38,10,41,3,0,71,0.231617647,0.326018808,0.386029411,0.303419834,15684,8.7136,5.0318,1.7317,1.2273,0.2226,0.1285,0.094,1.4182,0.269,0.6889,4.72764652670801,4.85370674470759
"72",2019,"Paul Fry","BAL","AL East",57.1,255,5.3372,54,11,1,39,34,7,29,1,6,55,0.246575342,0.3503937,0.401826484,0.32636004,15832,8.6337,4.5523,1.8966,1.0988,0.2157,0.1137,0.102,1.4477,0.2975,0.6313,4.71401034770801,4.41053257192382
"73",2019,"David Hess","BAL","AL East",80,365,7.0875,94,17,2,73,63,28,30,0,2,68,0.287461773,0.348066298,0.608562691,0.389688805,16130,7.65,3.375,2.2667,3.15,0.1863,0.0822,0.1041,1.55,0.2785,0.6106,7.26400947570801,5.67295322511345
"74",2019,"John Means","BAL","AL East",155,637,3.6,138,33,3,68,62,23,38,0,5,121,0.233898305,0.284591194,0.416949152,0.295397651,16269,7.0258,2.2065,3.1842,1.3355,0.19,0.0597,0.1303,1.1355,0.2556,0.7594,4.41400947570801,5.47520283374094
"75",2019,"Rick Porcello","BOS","AL East",174.1,768,5.5239,198,43,5,114,107,31,45,2,6,143,0.278089887,0.32591623,0.483146067,0.338017026,2717,7.3824,2.3231,3.1778,1.6004,0.1862,0.0586,0.1276,1.3939,0.3076,0.6566,4.76276694170801,5.14394820881846
"76",2019,"David Price","BOS","AL East",107.1,458,4.2764,109,28,2,57,51,15,32,0,3,128,0.258293838,0.31441048,0.440758293,0.319039113,3184,10.7329,2.6832,4,1.2578,0.2795,0.0699,0.2096,1.3137,0.3357,0.7073,3.62394749070801,3.73460664101586
"77",2019,"Ryan Brasier","BOS","AL East",55.2,239,4.8503,51,10,0,33,30,9,21,1,3,61,0.238317757,0.311203319,0.411214953,0.305890012,5615,9.8623,3.3952,2.9048,1.4551,0.2552,0.0879,0.1674,1.2934,0.2897,0.6731,4.41760156870801,4.88866997292867
"78",2019,"Marcus Walden","BOS","AL East",78,327,3.8077,61,17,1,38,33,6,32,1,5,76,0.212543554,0.300613496,0.341463414,0.280062904,8004,8.7692,3.6923,2.375,0.6923,0.2324,0.0979,0.1346,1.1923,0.2644,0.6696,3.68836844970801,4.1675215417758
"79",2019,"Nathan Eovaldi","BOS","AL East",67.2,302,5.9852,72,13,0,46,45,16,35,0,3,70,0.275862068,0.365448504,0.509578544,0.367310697,9132,9.3103,4.6552,2,2.1281,0.2318,0.1159,0.1159,1.5813,0.3146,0.7306,5.90366332270801,4.88757138631879
"80",2019,"Chris Sale","BOS","AL East",147.1,612,4.3982,123,30,2,80,72,24,37,0,13,218,0.221223021,0.283606557,0.411870503,0.293871418,10603,13.3167,2.2602,5.8919,1.4661,0.3562,0.0605,0.2958,1.086,0.3094,0.6671,3.39048010370801,2.9335048204824
"81",2019,"Brandon Workman","BOS","AL East",71.2,286,1.8837,29,7,0,18,15,1,45,4,2,104,0.123404255,0.266666666,0.165957446,0.208037965,11428,13.0605,5.6512,2.3111,0.1256,0.3636,0.1573,0.2063,1.0326,0.209,0.7775,2.46052145470801,3.33386742248417
"82",2019,"Matt Barnes","BOS","AL East",64.1,285,3.7772,51,9,0,29,27,8,38,2,2,110,0.209876543,0.320422535,0.345679012,0.291922609,12863,15.3886,5.3161,2.8947,1.1192,0.386,0.1333,0.2526,1.3834,0.3386,0.7769,3.27618567370801,2.9273374281072
"83",2019,"Colten Brewer","BOS","AL East",54.2,253,4.1159,59,12,1,26,25,6,34,1,2,52,0.276995305,0.376984126,0.427230046,0.345692769,12997,8.561,5.5976,1.5294,0.9878,0.2055,0.1344,0.0711,1.7012,0.3333,0.7968,4.71400856070801,4.85185944514076
"84",2019,"Eduardo Rodriguez","BOS","AL East",203.1,859,3.8066,195,30,2,88,86,24,75,2,7,213,0.253246753,0.323220536,0.39090909,0.306911004,13164,9.4279,3.3197,2.84,1.0623,0.248,0.0873,0.1607,1.3279,0.3167,0.7765,3.86318990970801,4.09948305349156
"85",2019,"Hector Velazquez","BOS","AL East",56.1,247,5.432,58,14,2,40,34,7,28,0,3,49,0.273584905,0.361788617,0.457547169,0.34792863,19341,7.8284,4.4734,1.75,1.1183,0.1984,0.1134,0.085,1.5266,0.3188,0.6187,4.74063759770801,5.45580230887975
